"","StartDate","EndDate","Progress","Duration (in seconds)","Finished","RecordedDate","Q_RecaptchaScore","meta_Browser","meta_Version","meta_Operating System","meta_Resolution","timer.consent_First Click","timer.consent_Last Click","timer.consent_Page Submit","timer.consent_Click Count","Consent","timer.platforms_First Click","timer.platforms_Last Click","timer.platforms_Page Submit","timer.platforms_Click Count","platforms_fb","platforms_insta","platforms_tiktok","platforms_x","platforms_truth","platforms_jive","timer.state_First Click","timer.state_Last Click","timer.state_Page Submit","timer.state_Click Count","state","timer.age_First Click","timer.age_Last Click","timer.age_Page Submit","timer.age_Click Count","age","timer.device_First Click","timer.device_Last Click","timer.device_Page Submit","timer.device_Click Count","device","timer.download_First Click","timer.download_Last Click","timer.download_Page Submit","timer.download_Click Count","download_apple","download_android","timer.race_First Click","timer.race_Last Click","timer.race_Page Submit","timer.race_Click Count","race","timer.image_First Click","timer.image_Last Click","timer.image_Page Submit","timer.image_Click Count","screen_image","timer.pid3_First Click","timer.pid3_Last Click","timer.pid3_Page Submit","timer.pid3_Click Count","pid3","timer.pid.followup_First Click","timer.pid.followup_Last Click","timer.pid.followup_Page Submit","timer.pid.followup_Click Count","pid_strong","pid_lean","timer.ideo_First Click","timer.ideo_Last Click","timer.ideo_Page Submit","timer.ideo_Click Count","ideo7","timer.educ.1_First Click","timer.educ.1_Last Click","timer.educ.1_Page Submit","timer.educ.1_Click Count","educ_new","1","timer.educ.2_First Click","timer.educ.2_Last Click","timer.educ.2_Page Submit","timer.educ.2_Click Count","2","timer.educ.3_First Click","timer.educ.3_Last Click","timer.educ.3_Page Submit","timer.educ.3_Click Count","3","timer.educ.4_First Click","timer.educ.4_Last Click","timer.educ.4_Page Submit","timer.educ.4_Click Count","4","timer.educ.5_First Click","timer.educ.5_Last Click","timer.educ.5_Page Submit","timer.educ.5_Click Count","5","timer.educ.6_First Click","timer.educ.6_Last Click","timer.educ.6_Page Submit","timer.educ.6_Click Count","6","timer.educ.7_First Click","timer.educ.7_Last Click","timer.educ.7_Page Submit","timer.educ.7_Click Count","7","timer.educ.8_First Click","timer.educ.8_Last Click","timer.educ.8_Page Submit","timer.educ.8_Click Count","8","timer.image.9_First Click","timer.image.9_Last Click","timer.image.9_Page Submit","timer.image.9_Click Count","9","timer.instructions_First Click","timer.instructions_Last Click","timer.instructions_Page Submit","timer.instructions_Click Count","Invite_Block","participant_code","...134","race_new","social_media_sum","social_media_high","pid7"
"147","12/12/2023 11:34","12/12/2023 11:35",91,86,FALSE,"12/12/2023 13:37",0.899999976158142,"Safari iPhone","16.2","iPhone","414x896",8.535,31.105,32.169,10,"Yes, I consent",2.729,8.82,10.332,7,1,1,1,0,0,0,1.274,1.274,6.736,1,"Michigan",3.789,3.789,6.216,1,42,1.416,1.416,2.173,1,"Apple iPhone",2.195,2.195,3.883,1,"Yes, I am",NA,1.524,1.524,2.349,1,"White",1.953,2.67,3.738,2,3,1.23,1.23,4.145,1,"Democrat",1.271,1.271,1.835,1,"Strong ${q://QID41/ChoiceGroup/SelectedChoices}",NA,1.912,2.938,2.962,2,"Somewhat liberal",NA,NA,NA,NA,"Some college but no degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66,1.66,2.552,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"vhteax",NA,"White",3,FALSE,"Strong Democrat"
"148","12/12/2023 11:34","12/12/2023 12:20",91,2768,FALSE,"12/12/2023 13:37",0.899999976158142,"Chrome","120.0.0.0","Windows NT 10.0","1154x649",222.569,238.212,239.145,3,"Yes, I consent",3.164,13.48,14.061,8,2,1,0,1,0,0,1.332,10.444,11.388,4,"Texas",0.992,0.992,2.526,1,46,1.618,1.618,2.827,1,"Android",NA,NA,NA,NA,NA,"Yes, I am",1.593,1.593,2.392,1,"White",1.65,2.668,3.572,2,3,3.74,3.74,4.439,1,"Independent",1.968,1.968,2.511,1,NA,"Neither",1.675,2.778,3.726,2,"Somewhat conservative",NA,NA,NA,NA,"Some college but no degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.715,1.715,2.449,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"gc4ev4",NA,"White",4,FALSE,"Pure Independent"
"149","12/12/2023 11:35","12/12/2023 12:11",91,2148,FALSE,"12/12/2023 13:37",0.899999976158142,"Chrome","120.0.0.0","Windows NT 10.0","1366x768",148.344,148.344,149.293,1,"Yes, I consent",114.979,121.835,122.773,6,1,2,1,0,0,0,3.219,10.425,11.705,2,"Ohio",2.573,2.573,4.936,1,35,6.721,6.721,7.716,1,"Android",NA,NA,NA,NA,NA,"Yes, I am",2.639,2.639,4.489,1,"Black or African American",4.635,4.635,5.639,1,3,3.302,3.302,4.013,1,"Independent",3.513,3.513,4.27,1,NA,"Neither",5.484,5.484,6.563,1,"Extremely liberal",NA,NA,NA,NA,"Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.212,3.212,4.376,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"8dpumw",NA,"Black or African American",4,FALSE,"Pure Independent"
"150","12/12/2023 11:40","12/12/2023 11:48",91,436,FALSE,"12/12/2023 13:37",0.699999988,"Chrome","120.0.0.0","Windows NT 10.0","1925x947",3.824,3.824,4.426,1,"Yes, I consent",3.601,7.425,9.122,6,0,0,0,1,0,0,0.752,5.336,5.813,2,"Michigan",0.804,0.804,2.768,1,30,1.746,1.746,3.28,1,"Apple iPhone",1.429,1.429,2.265,1,"Yes, I am",NA,1.472,1.472,2.019,1,"White",1.686,1.686,2.587,1,3,1.39,2.22,2.665,3,"Other",0.827,0.827,1.489,1,NA,"Neither",1.056,1.056,1.915,1,"Extremely liberal",NA,NA,NA,NA,"Some college but no degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.743,2.467,2.864,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"1kpbpr",NA,"White",1,FALSE,"Pure Independent"
"151","12/12/2023 13:44","12/12/2023 13:51",100,378,TRUE,"12/12/2023 13:51",0.899999976158142,"Chrome","119.0.0.0","Windows NT 10.0","1920x1080",5.658,5.658,15.7,1,"Yes, I consent",16.289,37.512,38.432,7,2,2,2,1,0,0,5.873,26.297,28.941,2,"Kansas",10.907,10.907,16.823,1,49,1.293,1.293,1.81,1,"Android",NA,NA,NA,NA,NA,"Yes, I am",1.354,1.354,1.798,1,"White",1.57,1.57,2.128,1,3,7.997,7.997,8.844,1,"Democrat",4.819,4.819,14.155,1,"Strong ${q://QID41/ChoiceGroup/SelectedChoices}",NA,51.773,57.849,58.502,2,"Moderate or middle of the road",NA,NA,NA,NA,"Post-graduate degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.998,2.998,3.387,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.56,136.593,174.801,5,4,"aeenr8",NA,"White",7,TRUE,"Strong Democrat"
"152","12/12/2023 14:24","12/12/2023 14:53",100,1714,TRUE,"12/12/2023 14:53",0.699999988,"Chrome","119.0.0.0","Windows NT 10.0","1920x1080",1643.982,1646.509,1648.215,2,"Yes, I consent",1.596,6.267,6.822,6,2,2,1,2,0,0,1.052,3.805,4.444,2,"Georgia",1.011,1.011,3.464,1,33,0.868,0.868,1.913,1,"Android",NA,NA,NA,NA,NA,"Yes, I am",1.216,1.216,1.824,1,"White",1.303,1.303,1.78,1,3,5.791,5.791,6.404,1,"Democrat",1.881,1.881,2.334,1,"Strong ${q://QID41/ChoiceGroup/SelectedChoices}",NA,1.365,1.365,1.778,1,"Extremely liberal",NA,NA,NA,NA,"Post-graduate degree",NA,1.925,1.925,2.862,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.045,3.445,16.588,2,2,"x2xkh6",NA,"White",7,TRUE,"Strong Democrat"
"153","12/13/2023 9:49","12/13/2023 9:52",100,189,TRUE,"12/13/2023 9:52",0.899999976158142,"Chrome","120.0.0.0","Android 10","393x851",9.055,15.325,16.068,7,"Yes, I consent",4.681,9.56,10.449,7,2,2,1,0,0,0,1.153,1.153,6.536,1,"New York",0.774,0.774,2.749,1,30,1.12,1.843,2.69,2,"Android",NA,NA,NA,NA,NA,"Yes, I am",1.717,1.717,2.27,1,"White",0.949,1.51,2.2,2,3,1.406,1.406,2.222,1,"Democrat",1.523,1.523,2.089,1,"Strong ${q://QID41/ChoiceGroup/SelectedChoices}",NA,3.103,3.103,3.8,1,"Liberal",NA,NA,NA,NA,"Post-graduate degree",NA,NA,NA,NA,NA,NA,1.927,1.927,2.501,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.648,35.369,36.311,10,3,"2k8crd",NA,"White",5,TRUE,"Strong Democrat"
"154","12/13/2023 9:59","12/13/2023 10:03",100,286,TRUE,"12/13/2023 10:03",1,"Safari iPhone","16.2","iPhone","414x896",4.283,41.264,42.353,11,"Yes, I consent",2.666,15.043,15.911,8,2,1,0,0,0,0,1.401,1.401,7.905,1,"Texas",1.304,1.304,5.401,1,26,7.83,7.83,8.588,1,"Apple iPhone",11.925,11.925,12.519,1,"Yes, I am",NA,2.284,2.284,2.993,1,"White",2.267,3.192,5.964,2,3,3.014,3.014,3.638,1,"Republican",1.846,1.846,2.626,1,"Not very strong ${q://QID41/ChoiceGroup/SelectedChoices}",NA,2.887,4.596,4.622,3,"Somewhat conservative",NA,NA,NA,NA,"Post-graduate degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.177,5.177,7.526,1,NA,NA,NA,NA,NA,NA,3.287,4.151,5.699,2,8,"q79qvu",NA,"White",3,FALSE,"Weak Republican"
"155","12/13/2023 10:05","12/13/2023 10:07",100,135,TRUE,"12/13/2023 10:07",1,"Chrome","120.0.0.0","Windows NT 10.0","1536x960",5.978,5.978,6.971,1,"Yes, I consent",4.691,10.338,11.681,6,1,2,2,0,0,0,1.275,4.369,5.235,2,"Michigan",1.662,4.389,8.39,3,24,1.72,1.72,2.644,1,"Apple iPhone",2.159,2.159,3.318,1,"Yes, I am",NA,1.419,1.419,2.328,1,"White",2.32,2.763,4.146,2,3,1.878,2.5,4.322,2,"Other",2.139,2.139,3.666,1,NA,"Closer to Democratic Party",1.632,1.632,3.101,1,"Extremely liberal",NA,NA,NA,NA,"Post-graduate degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.383,2.383,3.465,1,NA,0,0,68.749,0,9,"pqkrcg",NA,"White",5,TRUE,"Lean Democrat"
"156","12/13/2023 10:02","12/13/2023 10:08",100,342,TRUE,"12/13/2023 10:08",0.899999976158142,"Edge","120.0.0.0","Windows NT 10.0","1680x1050",127.134,127.134,133.124,1,"Yes, I consent",6.824,15.273,16.617,7,1,2,2,2,0,0,1.419,4.304,5.28,2,"Louisiana",1.322,1.322,4.08,1,26,1.434,1.434,2.468,1,"Apple iPhone",8.49,8.49,9.849,1,"Yes, I am",NA,1.426,1.426,3.413,1,"Black or African American",3.107,3.107,4.213,1,3,11.202,11.202,12.708,1,"Other",2.05,2.05,6.656,1,NA,"Neither",10.4,10.4,19.86,1,"Moderate or middle of the road",NA,NA,NA,NA,"Some college but no degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.742,3.742,4.877,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.802,45.17,110.685,2,6,"2rge23",NA,"Black or African American",7,TRUE,"Pure Independent"
