StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q_RecaptchaScore,meta_Browser,meta_Version,meta_Operating System,meta_Resolution,timer.consent_First Click,timer.consent_Last Click,timer.consent_Page Submit,timer.consent_Click Count,Consent,timer.platforms_First Click,timer.platforms_Last Click,timer.platforms_Page Submit,timer.platforms_Click Count,platforms_fb,platforms_insta,platforms_tiktok,platforms_x,platforms_truth,platforms_jive,timer.state_First Click,timer.state_Last Click,timer.state_Page Submit,timer.state_Click Count,state,timer.age_First Click,timer.age_Last Click,timer.age_Page Submit,timer.age_Click Count,age,timer.device_First Click,timer.device_Last Click,timer.device_Page Submit,timer.device_Click Count,device,timer.download_First Click,timer.download_Last Click,timer.download_Page Submit,timer.download_Click Count,download_apple,download_android,timer.race_First Click,timer.race_Last Click,timer.race_Page Submit,timer.race_Click Count,race ,timer.image_First Click,timer.image_Last Click,timer.image_Page Submit,timer.image_Click Count,screen_image,timer.pid3_First Click,timer.pid3_Last Click,timer.pid3_Page Submit,timer.pid3_Click Count,pid3,timer.pid.followup_First Click,timer.pid.followup_Last Click,timer.pid.followup_Page Submit,timer.pid.followup_Click Count,pid_strong,pid_lean,timer.ideo_First Click,timer.ideo_Last Click,timer.ideo_Page Submit,timer.ideo_Click Count,ideo7,timer.educ.1_First Click,timer.educ.1_Last Click,timer.educ.1_Page Submit,timer.educ.1_Click Count,educ_1,1,timer.educ.2_First Click,timer.educ.2_Last Click,timer.educ.2_Page Submit,timer.educ.2_Click Count,educ_2,2,timer.educ.3_First Click,timer.educ.3_Last Click,timer.educ.3_Page Submit,timer.educ.3_Click Count,educ_3,3,timer.educ.4_First Click,timer.educ.4_Last Click,timer.educ.4_Page Submit,timer.educ.4_Click Count,educ_4,4,timer.educ.5_First Click,timer.educ.5_Last Click,timer.educ.5_Page Submit,timer.educ.5_Click Count,educ_5,5,timer.educ.6_First Click,timer.educ.6_Last Click,timer.educ.6_Page Submit,timer.educ.6_Click Count,educ_6,6,timer.educ.7_First Click,timer.educ.7_Last Click,timer.educ.7_Page Submit,timer.educ.7_Click Count,educ_7,7,timer.educ.8_First Click,timer.educ.8_Last Click,timer.educ.8_Page Submit,timer.educ.8_Click Count,educ_8,8,timer.image.9_First Click,timer.image.9_Last Click,timer.image.9_Page Submit,timer.image.9_Click Count,educ_9,9,timer.instructions_First Click,timer.instructions_Last Click,timer.instructions_Page Submit,timer.instructions_Click Count,Invite_Block,participant_code,
12/12/2023 10:12,12/12/2023 10:18,100,375,TRUE,12/12/2023 10:18,1,Chrome,120.0.0.0,Windows NT 10.0,1366x768,129.122,129.122,131.198,1,"Yes, I consent",9.802,19.896,23.303,7,A lot,A lot,Some,Some,Not at all,Not at all,2.136,6.382,7.902,2,Ohio,2.051,2.051,5.408,1,47,2.462,2.462,3.7,1,Android,,,,,,"Yes, I am",2.887,2.887,4.791,1,White,5.304,5.304,6.58,1,3,7.824,7.824,9.265,1,Independent,3.35,3.35,4.571,1,,Closer to Democratic Party,2.502,2.502,4.696,1,Liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.417,4.417,5.851,1,Bachelor’s degree,,,,,,,,,,,,,,0,0,146.07,0,7,ZF1ER9,
12/12/2023 10:27,12/12/2023 10:28,100,33,TRUE,12/12/2023 10:28,1,Chrome,120.0.0.0,Windows NT 10.0,1920x1080,3.917,3.917,4.356,1,"Yes, I consent",4.453,9.171,9.713,9,Not at all,Some,A lot,Not at all,Not at all,Not at all,0.469,5.267,5.852,3,Texas,0.66,0.66,2.52,1,18,0.67,0.67,1.161,1,Apple iPhone,0.705,6.257,6.762,3,"No, I am NOT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2023 10:31,12/12/2023 10:35,100,248,TRUE,12/12/2023 10:35,0.8999999761581421,Chrome,119.0.0.0,Android 10,412x915,29.7,38.178,39.266,4,"Yes, I consent",3.73,9.741,10.39,7,Some,Some,A lot,Not at all,Not at all,Not at all,1.16,1.16,3.144,1,Connecticut,1.208,1.208,4.166,1,45,1.48,1.48,3.79,1,Android,,,,,,"Yes, I am",2.017,2.017,2.853,1,White,2.132,3.069,3.592,2,3,3.855,3.855,4.864,1,Democrat,1.405,1.405,2.351,1,Not very strong ${q://QID41/ChoiceGroup/SelectedChoices},,2.358,2.358,3.157,1,Moderate or middle of the road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.912,1.912,2.668,1,Some college but no degree,,,,,,,,10.898,42.336,43.279,6,8,GW6R7F,
12/12/2023 10:34,12/12/2023 10:37,100,204,TRUE,12/12/2023 10:37,0.30000001192092896,Firefox,119,Windows NT 10.0,1366x768,6.336,22.027,23.118,3,"Yes, I consent",2.618,9.718,10.876,8,A lot,Some,A lot,Some,Not at all,Not at all,2.204,5.503,6.338,4,North Carolina,0.952,0.952,4.422,1,35,1.347,1.347,2.402,1,Android,,,,,,"Yes, I am",1.93,3.06,3.931,2,White,2.222,3.312,4.6,2,3,1.933,5.179,8.23,3,Republican,1.367,1.367,2.066,1,Not very strong ${q://QID41/ChoiceGroup/SelectedChoices},,1.896,2.949,3.966,2,Moderate or middle of the road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.88,17.057,17.709,2,High school graduate or equivalent (GED),,6.499,102.732,103.591,3,9,2D3AXV,
12/12/2023 10:34,12/12/2023 10:39,100,277,TRUE,12/12/2023 10:39,1,Chrome,119.0.0.0,Windows NT 10.0,1536x864,52.634,54.493,56.347,2,"Yes, I consent",5.229,27.129,27.751,9,A lot,A lot,Not at all,Some,Not at all,Not at all,1.283,3.367,4.073,2,Georgia,0.868,0.868,3.009,1,26,20.603,20.603,23.336,1,Apple iPhone,3.059,3.059,3.912,1,"Yes, I am",,1.153,1.153,2.026,1,Black or African American,1.535,2.443,3.219,2,3,2.258,2.258,3.182,1,Democrat,1.489,1.489,2.326,1,Not very strong ${q://QID41/ChoiceGroup/SelectedChoices},,1.671,2.486,3.258,2,Moderate or middle of the road,,,,,,,,,,,,,,,,,,,1.383,2.14,3.121,2,Some college but no degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.312,94.216,132.42,3,4,HFYV7M,
12/12/2023 10:37,12/12/2023 10:41,100,194,TRUE,12/12/2023 10:41,0.6000000238418579,Chrome,120.0.0.0,Windows NT 10.0,1920x1080,18.55,18.55,19.394,1,"Yes, I consent",9.742,16.71,17.55,6,Some,Not at all,A lot,Some,Not at all,Not at all,1.181,4.529,5.612,2,Pennsylvania,2.68,2.68,6.151,1,39,1.026,1.026,1.972,1,Apple iPhone,5.675,5.675,6.467,1,"Yes, I am",,2.155,2.155,3.225,1,White,6.169,6.169,16.065,1,3,2.766,2.766,3.418,1,Republican,2.077,2.077,2.695,1,Not very strong ${q://QID41/ChoiceGroup/SelectedChoices},,2.988,2.988,5.385,1,Somewhat conservative,,,,,,,1.618,2.203,4.29,2,Associate degree in college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.036,18.89,95.558,3,2,Z6KVEE,
12/12/2023 10:39,12/12/2023 10:43,100,244,TRUE,12/12/2023 10:43,1,Chrome,120.0.0.0,Windows NT 10.0,1280x720,27.508,27.508,28.543,1,"Yes, I consent",4.778,11.323,12.66,6,Not at all,A lot,Some,A lot,Not at all,Not at all,1.004,2.053,2.738,2,California,0.803,3.904,7.749,2,30,1.065,1.065,2.45,1,Apple iPhone,1.47,1.47,2.286,1,"Yes, I am",,1.394,1.394,2.795,1,White,1.727,1.727,3.064,1,3,3.368,3.368,4.566,1,Independent,2.282,2.282,3.056,1,,Closer to Democratic Party,1.644,1.644,3.366,1,Moderate or middle of the road,,,,,,,,,,,,,1.217,1.217,2.346,1,Some college but no degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,161.786,0,3,17XPYV,
12/12/2023 10:41,12/12/2023 10:43,100,121,TRUE,12/12/2023 10:43,0.8999999761581421,Chrome,119.0.0.0,CrOS x86_64 14541.0.0,1880x1253,19.646,19.646,20.752,1,"Yes, I consent",6.877,15.572,16.432,7,Some,Some,A lot,A lot,Some,Not at all,1.311,3.358,4.2,2,California,1.167,1.167,3.5,1,30,1.368,1.368,3.484,1,Apple iPhone,2.639,2.639,3.924,1,"Yes, I am",,1.298,1.298,2.314,1,White,4.364,4.364,5.225,1,3,1.939,1.939,4.111,1,Republican,1.3,1.3,2.445,1,Strong ${q://QID41/ChoiceGroup/SelectedChoices},,0.594,2.953,4.086,2,Conservative,,,,,,,,,,,,,,,,,,,,,,,,,1.785,1.785,2.691,1,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,40.042,0,5,BHAXWM,
12/12/2023 10:42,12/12/2023 10:46,100,260,TRUE,12/12/2023 10:46,0.8999999761581421,Chrome iPhone,119.0.6045.169,iPhone,430x932,2.029,15.989,28.401,7,"Yes, I consent",4.874,12.454,13.179,7,Some,Some,Some,Some,Not at all,Not at all,1.588,1.588,3.942,1,California,2.317,2.317,4.569,1,28,8.905,9.323,10.294,2,Apple iPhone,3.755,3.755,4.489,1,"Yes, I am",,5.913,5.913,6.522,1,White,2.809,4.062,7.288,2,3,3.165,4.984,9.875,2,Independent,11.423,11.423,12.011,1,,Closer to Democratic Party,8.296,9.354,10.36,2,Conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.047,2.047,2.784,1,Bachelor’s degree,,,,,,,,,,,,,,19.508,137.12,138.864,9,7,YH7TRU,
12/12/2023 10:47,12/12/2023 10:50,100,185,TRUE,12/12/2023 10:50,0.8999999761581421,Safari,17.1,Macintosh,1440x900,24.953,24.953,26.273,1,"Yes, I consent",5.639,9.096,10.058,6,A lot,A lot,A lot,A lot,Not at all,Not at all,0,0,4.751,0,New York,1.167,1.167,5.793,1,30,1.656,1.656,2.7,1,Apple iPhone,5.495,5.495,6.419,1,"Yes, I am",,3.218,3.218,4.347,1,Black or African American,1.659,1.659,3.781,1,3,4.612,4.612,5.706,1,Democrat,2.284,5.016,5.875,2,Strong ${q://QID41/ChoiceGroup/SelectedChoices},,4.13,4.13,5.574,1,Liberal,1.94,1.94,3.407,1,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,93.042,0,1,D1QXRB,
